PLANT;PN_ASS;PN_COM;DATEFROM_VALID;BOM_QTY
71;E001573;E000129;02/12/11;1
71;E001576;E000128;30/12/11;1
71;E001577;E000233;20/12/11;1
71;E001578;E000812;28/12/11;1
71;E001579;E000812;28/12/11;1
71;E001580;E000812;27/12/11;1
71;E001581;E001403;27/12/11;1
71;E001582;E000233;29/12/11;1
71;E001583;E000233;29/12/11;1
71;E001585;E000233;29/12/11;1
71;E001586;E000129;17/04/12;1
71;E001587;E000812;27/02/12;1
71;E001589;E000812;27/02/12;1
71;E001592;E001403;03/01/12;1
71;E001593;E000233;18/01/12;1
71;E001595;E000241;21/02/12;1
71;E001596;E000642;19/01/12;1
71;E001598;E000812;08/02/12;1
71;E001599;E000131;11/12/12;1
71;E001600;E000233;15/05/12;1
71;E001601;E000812;27/01/12;1
71;E001602;E000129;07/02/12;1
71;E001603;E000241;08/02/12;1
71;E001604;E000128;08/02/12;1
71;E001609;E000129;16/02/12;1
71;E001610;E000812;15/02/12;1
71;E001613;E000813;10/01/13;1
71;E001615;E000813;24/02/12;1
71;E001616;E000813;24/02/12;1
71;E001617;E000813;28/02/12;1
71;E001619;E000129;03/03/12;1
71;E001620;E000813;12/03/12;1
71;E001621;E000812;02/03/12;1
71;E001622;E000129;09/03/12;1
71;E001623;E000129;08/03/12;1
71;E001624;E000812;08/03/12;1
71;E001625;E000813;17/03/12;1
71;E001626;E000241;17/03/12;1
71;E001627;E000241;17/03/12;1
71;E001628;E001403;26/04/12;1
71;E001629;E000812;06/04/12;1
71;E001630;E000129;26/03/12;1
71;E001631;E000812;26/03/12;1
71;E001632;E000812;27/04/12;1
71;E001633;E000129;26/03/12;1
71;E001634;E000129;26/03/12;1
71;E001635;E000813;28/03/12;1
71;E001636;E000813;29/03/12;1
71;E001637;E000241;30/03/12;1
71;E001638;E000233;05/04/12;1
71;E001639;E001403;27/04/12;1
71;E001641;E000131;17/04/12;1
71;E001642;E000812;17/04/12;1
71;E001643;E000812;17/04/12;1
71;E001646;E000813;17/04/12;1
71;E001647;E000131;02/05/12;1
71;E001648;E001403;10/05/12;1
71;E001649;E000812;27/04/12;1
71;E001651;E001403;10/05/12;1
71;E001652;E000129;17/05/12;1
71;E001654;E000812;17/05/12;1
71;E001655;E000131;18/05/12;1
71;E001656;E000131;22/05/12;1
71;E001658;E001403;24/05/12;1
71;E001658;E001658;01/07/16;1
71;E001658;E001658;01/07/16;1
71;E001659;E000810;28/05/12;1
71;E001660;E000810;28/05/12;1
71;E001661;E000131;28/05/12;1
71;E001662;E000128;02/11/20;1
71;E001663;E001403;01/06/12;1
71;E001664;E002360;17/03/16;1
71;E001665;E000812;11/06/12;1
71;E001666;E000131;12/06/12;1
71;E001668;E000241;12/06/12;1
71;E001671;E001403;15/06/12;1
71;E001674;E000233;19/06/12;1
71;E001675;E000129;02/07/12;1
71;E001677;E000812;20/06/12;1
71;E001678;E000241;26/06/12;1
71;E001681;E001101;26/06/12;1
71;E001682;E001426;26/06/12;1
71;E001683;E000813;23/07/12;1
71;E001684;E000233;02/07/12;1
71;E001685;E000129;02/07/12;1
71;E001686;E000129;04/07/12;1
71;E001687;E000129;04/07/12;1
71;E001688;E000129;04/07/12;1
71;E001689;E000813;04/07/12;1
71;E001690;E000813;12/07/12;1
71;E001691;E000233;11/07/12;1
71;E001692;E000129;13/07/12;1
71;E001692;E000129;17/09/12;1
71;E001693;E000812;16/07/12;1
71;E001695;E000129;24/07/12;1
71;E001696;E000812;18/09/12;1
71;E001699;E000129;27/08/12;1
71;E001701;E000129;24/08/12;1
71;E001702;E000129;21/08/12;1
71;E001703;E000233;21/08/12;1
71;E001704;E000812;21/08/12;1
71;E001705;E000241;23/11/22;1
71;E001709;E001414;27/08/12;1
71;E001711;E000128;14/09/12;1,245
71;E001712;E000813;19/09/12;1
71;E001715;E000131;18/09/12;1
71;E001716;E000129;18/09/12;1
71;E001717;E000233;21/09/12;1
71;E001719;E000812;28/09/12;1
71;E001720;E000129;03/10/12;1
71;E001721;E000812;16/10/12;1
71;E001722;E000643;14/10/15;1
71;E001725;E000129;20/11/12;1
71;E001726;E000129;20/11/12;1
71;E001727;E000241;31/10/12;1
71;E001728;E001403;07/11/12;1
71;E001729;E000813;15/11/12;1
71;E001730;E000233;19/11/12;1
71;E001732;E000813;20/11/12;1
71;E001733;E001953;07/07/16;1
71;E001735;E000131;29/11/12;1
71;E001736;E000131;29/11/12;1
71;E001739;E000812;10/12/12;1
71;E001741;E001740;04/12/12;1
71;E001745;E000813;03/01/13;1
71;E001746;E000010;31/07/14;1
71;E001748;E000129;13/12/12;1
71;E001749;E000129;17/12/12;1
71;E001750;E000813;17/12/12;1
71;E001751;E000813;27/12/12;1
71;E001752;E000813;27/12/12;1
71;E001755;E000812;03/01/13;1
71;E001756;E000812;08/01/13;1
71;E001757;E000241;09/01/13;1
71;E001758;E000131;11/01/13;1
71;E001759;E002829;21/01/16;1
71;E001759;D004501;11/01/13;1
71;E001760;E002829;21/01/16;1
71;E001760;D004502;11/01/13;1
71;E001762;E000241;17/01/13;1
71;E001763;E000812;12/02/13;1
71;E001764;E000812;10/04/13;1
71;E001765;E000813;17/01/13;1
71;E001766;E000813;17/01/13;1
71;E001767;E000813;17/01/13;1
71;E001768;E001563;17/01/13;1
71;E001769;E000131;17/01/13;1
71;E001770;E001403;17/01/13;1
71;E001771;E000241;12/02/13;1
71;E001772;E000131;18/02/13;1
71;E001773;E000241;22/02/13;1
71;E001774;E000129;25/02/13;1
71;E001777;E000813;18/02/13;1
71;E001778;E000131;31/01/13;1
71;E001780;E001403;15/03/13;1
71;E001781;E000241;12/02/13;1
71;E001782;E000131;05/02/13;1
71;E001783;E001403;05/02/13;1
71;E001784;E000812;12/02/13;1
71;E001785;E000812;12/02/13;1
71;E001786;E000812;12/02/13;1
71;E001788;E001929;03/08/18;1
71;E001789;E001790;23/10/15;1
71;E001791;E001790;12/02/13;1
71;E001793;E000812;27/02/13;1
71;E001796;E002829;21/01/16;1
71;E001796;D004637;01/03/13;1
71;E001797;E002829;21/01/16;1
71;E001797;D004638;01/03/13;1
71;E001799;E001790;26/02/13;1
71;E001800;E000129;14/03/13;1
71;E001802;E000813;05/03/13;1
71;E001803;E000812;06/03/13;1
71;E001804;E001929;30/12/14;1,2874
71;E001806;E000131;05/03/13;1
71;E001807;E000813;02/05/13;1
71;E001809;E000813;17/05/13;1
71;E001810;E000813;22/05/13;1
71;E001811;E000812;25/03/13;1
71;E001812;E000233;13/03/13;1
71;E001813;E000129;13/03/13;1
71;E001814;E000812;08/05/13;1
71;E001815;E000812;08/05/13;1
71;E001816;E000131;08/05/13;1
71;E001818;E000812;08/04/13;1
71;E001819;E000241;08/04/13;1
71;E001820;E001403;20/03/13;1
71;E001823;E000813;09/04/13;1
71;E001824;E000233;09/04/13;1
71;E001825;E000129;09/04/13;1
71;E001827;E000129;10/04/13;1
71;E001830;E000812;15/04/13;1
71;E001831;E000812;15/04/13;1
71;E001832;E000813;22/05/13;1
71;E001835;E000131;22/04/13;1
71;E001836;E001403;23/04/13;1
71;E001837;E000233;23/04/13;1
71;E001838;E000241;23/04/13;1
71;E001839;E000129;23/04/13;1
71;E001843;E000131;02/05/13;1
71;E001844;E000129;03/05/13;1
71;E001845;E001403;22/05/13;1
71;E001846;E001403;13/05/13;1
71;E001849;E000129;14/05/13;1
71;E001850;E000129;16/05/13;1
71;E001851;E000129;16/05/13;1
71;E001853;E001426;20/05/13;1
71;E001856;E000129;20/05/13;1
71;E001859;E001563;18/07/13;1
71;E001862;E000217;30/05/13;1
71;E001862;E001861;30/05/13;1
71;E001863;E000129;30/05/13;1
71;E001864;E000129;07/06/13;1
71;E001865;E000129;03/06/13;1
71;E001866;E000131;06/06/13;1
71;E001867;E001403;06/06/13;1
71;E001868;E001403;04/06/13;1
71;E001869;E000129;06/06/13;1
71;E001870;E001403;26/06/13;1
71;E001871;E001403;26/06/13;1
71;E001872;E000813;14/06/13;1
71;E001873;E000129;17/06/13;1
71;E001874;E000812;17/06/13;1
71;E001877;E000131;29/08/13;1
71;E001878;E000812;02/07/13;1
71;E001883;E001403;05/09/13;1
71;E001884;E000241;03/07/13;1
71;E001885;E001929;08/05/17;1
71;E001886;E000812;16/07/13;1
71;E001887;E000131;04/07/13;1
71;E001888;E000233;05/07/13;1
71;E001889;E000812;26/09/13;1
71;E001890;E000812;08/07/13;1
71;E001892;E000812;16/07/13;1
71;E001893;E000812;12/07/13;1
71;E001894;E001426;12/07/13;1
